epoch,train_loss,val_loss,train_acc,val_acc,val_f1_mac,lr
1,0.5866950444287631,0.17155239558611232,0.8322771440642163,0.9560704803282646,0.8068269137977412,0.001
2,0.14803256675114462,0.07011412206570537,0.9692799806868247,0.997103548153512,0.9505887525375071,0.001
3,0.058683184934382605,0.06211423323829839,0.9875671434606795,0.9975862901279267,0.9570867486693487,0.001
4,0.03275129524358568,0.03718614351744385,0.9945078158005914,0.9987931450639633,0.9698355309866102,0.001
5,0.030698890268982062,0.044081439410909314,0.9943267547830286,0.9990345160511707,0.9744459380495136,0.001
6,0.02022379845450707,0.03825388866708927,0.9965598406663045,0.999275887038378,0.9831001651409815,0.001
7,0.01283919330315578,0.058144021376467486,0.9982497434968918,0.999275887038378,0.9737662587718907,0.001
8,0.012998462840532507,0.039648756121784076,0.9980686824793289,0.999275887038378,0.9818181591739004,0.001
9,0.009998814812794214,0.032975736199697195,0.9984911581869756,0.9995172580255853,0.9832556332556333,0.001
10,0.00893615812188675,0.04344891665304215,0.9985515118594966,0.9995172580255853,0.9832556332556333,0.001
11,0.006674107205289312,0.04337122100538024,0.9992757559297484,0.9995172580255853,0.9832556332556333,0.001
12,0.0064843076290973635,0.050193663784018405,0.9986118655320176,0.999275887038378,0.9737965159971965,0.001
13,0.010956768543193664,0.019150972544257655,0.997585853099161,0.9995172580255853,0.9845376543394421,0.001
14,0.006341809683367345,0.05290235964979931,0.9985515118594966,0.999275887038378,0.9737965159971965,0.001
15,0.005651076346121171,0.04548289596568231,0.9991550485847064,0.999275887038378,0.9737965159971965,0.001
16,0.006779923769148789,0.04356224847448445,0.9985515118594966,0.999275887038378,0.9737965159971965,0.001
17,0.006835984964091419,0.029564867909766614,0.9987929265495805,0.9995172580255853,0.9832556332556333,0.001
18,0.004443433924721856,0.027012942086344603,0.9993964632747903,0.9995172580255853,0.9832556332556333,0.0005
19,0.003988638636424244,0.03197149537263639,0.9993361096022693,0.9995172580255853,0.9832556332556333,0.0005
20,0.004256949983070102,0.026807113817715156,0.9992154022572274,0.9995172580255853,0.9832556332556333,0.0005
