,acc,prec,rec,f1_mac,f1_micro,f1_wt
LightGBM验证集,0.9997586290127927,0.9999223300970874,0.9833333333333332,0.9912655053323988,0.9997586290127927,0.9997534052560461
LightGBM测试集,0.9992274263640754,0.9784347557924662,0.983302108884577,0.9808174702220336,0.9992274263640754,0.9992312461669164
TextCNN验证集,0.9995172580255853,0.9832556332556333,0.9832556332556333,0.9832556332556333,0.9995172580255853,0.9995172580255853
TextCNN测试集,0.9991308546595847,0.9859168040886155,0.9755607931579939,0.9806744159784581,0.9991308546595847,0.9991260621553791
